 ,Common name,Common name 2,Common name 3,Phylum,Class,Order,Family,Genus,domestic/managed/wild,domestic/managed/wild 2,Ruminant/non-ruminant,Type (grazer/browser/mixed feeder),Type notes,Avg species weight (kg),Notes on Weight,Avg species shoulder height (cm),Notes on Shoulder Height,Even or odd toed?,Citation,Native habitat,Biome 1,Biome 2,Biome 3,Biome 4,Biome 5,Continent 1,Continent 2,Continent 3,Country 1,Country 2,Country 3,Country 4,Country 5+,Range Notes,Temperature Regime (ArcGIS),Temperate Regime 2,Temperate Regime 3,Temperate Regime 4,Temperate Regime 5,IUCN Status,IUCN reason,URL,Notes
Hylochoerus meinertzhageni,Forest hog,,,Chordata,Mammalia,Artiodactyla,Suidae,Hylochoerus,Wild,,Non-ruminant,Mixed feeder,,187.5,100-275,92.5,75-110,Even-toed,Ungulates of the World (website),Closed-canopy rainforests & grasslands,tropical rainforest,grassland,,,,Africa,,,Guinea Bissau,Sierra Leone,Liberia,Côte D'Ivoire,"Ghana, Nigeria, Gabon, Congo Republic, Cameroon, Central African Republic, Democratic Republic of the Congo, Uganda, Ethiopia, Kenya, Tanzania","Central Africa, incl. Liberia, Sierra Leone, Camaroon, Central African Republic & Democratic Republic of Congo",tropical,sub tropical,,,,Least Concern,,http://www.ultimateungulate.com/Artiodactyla/Hylochoerus_meinertzhageni.html,
Phacochoerus aethiopicus,Desert warthog,,,Chordata,Mammalia,Artiodactyla,Suidae,Phacochoerus,Wild,,Non-ruminant,Mixed feeder,,87.5,45-130,62.5,50-75,Even-toed,Animal Diversity (website),Savanna & semi-deserts,savanna,desert,,,,Africa,,,Kenya,Somalia,Djibouti,Eritrea,Ethiopia,"Eastern Africa, incl. Kenya, Somalia, & Ethiopia",warm temperate dry,tropical,sub tropical,,,Least Concern,,https://animaldiversity.org/accounts/Phacochoerus_aethiopicus/,
Phacochoerus africanus,Common warthog,,,Chordata,Mammalia,Artiodactyla,Suidae,Phacochoerus,Wild,,Non-ruminant,Mixed feeder,,100,50-150,74,63-85,Even-toed,Animal Diversity (website),"Open woodlands, savanna, & semi-deserts",woodland,savanna,desert,,,Africa,,,Senegal,Gambia,Guinea Bissau,Guinea,"Côte D'Ivoire, Mali, Burkina, Ghana, Togo, Benin, Nigeria, Niger, Chad, Cameroon, Central African Republic, South Sudan, Sudan, Eritrea, Ethiopea, Djibouti, Uganda, Rwanda, Burundi, Tanzania, Kenya, Malawi, Zambia, Mozambique, Zimbabwe, Angola, Namiia, Botswana, Swaziland, South Africa",,warm temperate dry,tropical,sub tropical,,,Least Concern,,https://animaldiversity.org/accounts/Phacochoerus_africanus/,
Porcula salvania,Pygmy hog,,,Chordata,Mammalia,Artiodactyla,Suidae,Porcula,Wild,,Non-ruminant,Mixed feeder,,8,6-10,25.5,20-31,Even-toed,Ungulates of the World (website),Grasslands,grassland,,,,,Asia,,,India,,,,,"Himalayan Mountains, Central Asia",sub tropical,,,,,Endangered,,http://www.ultimateungulate.com/Artiodactyla/Porcula_salvania.html,
Potamochoerus larvatus,Bush pig,,,Chordata,Mammalia,Artiodactyla,Suidae,Potamochoerus,Wild,,Non-ruminant,Mixed feeder,,84.5,54-115,67.5,55-80,Even-toed,Ungulates of the World (website),Alpine forests & grasslands,boreal forest,grassland,,,,Africa,,,Ethiopia,Uganda,Kenya,Rwanda,"Burundi, Tanzania, Democratic Republic of the Congo, Angola, Botswana, South Africa, Swaziland, Malawi, Mozambique, Zimbabwe, Zambia","Eastern Africa, incl. Zimbabwe, Mozambique, Tanzania, & Madagascar",warm temperate dry,tropical,sub tropical,,,Least Concern,,http://www.ultimateungulate.com/Artiodactyla/Potamochoerus_larvatus.html,Possibly introduced to Madagascar
Potamochoerus porcus,Red river hog,,,Chordata,Mammalia,Artiodactyla,Suidae,Potamochoerus,Wild,,Non-ruminant,Mixed feeder,,82.5,45-120,67.5,55-80,Even-toed,Ungulates of the World (website),"Tropical forests, savannas, & wetlands",tropical rainforest,savanna,,,,Africa,,,Senegal,Gambia,Guinea Bissau,Mali,"Guinea, Sierra Leone, Liberia, Côte D'Ivoire, Ghana, Togo, Benin, Nigeria, Cameroon, Chad, Equatorial Guinea, Gabon, Congo Republic, Democratic Republic of the Congo, Central African Republic, South Sudan","Western & Central Africa, incl. Sierra Leone, Ghana, Camaroon, & Congo Basin",tropical,sub tropical,,,,Least Concern,,http://www.ultimateungulate.com/Artiodactyla/Potamochoerus_porcus.html,
Sus ahoenobarbus,Palawan bearded pig,,,Chordata,Mammalia,Artiodactyla,Suidae,Sus,Wild,,Non-ruminant,Mixed feeder,,150,150 (unverified),87.5,75-100 (unverified),Even-toed,Ungulates of the World (website),Tropical forests,tropical rainforest,,,,,Asia,,,Philippines,,,,,"Palawan Islands, Philippines",tropical,,,,,Near Threatened,,http://www.ultimateungulate.com/Artiodactyla/Sus_ahoenobarbus.html,
Sus barbatus,Bearded pig,,,Chordata,Mammalia,Artiodactyla,Suidae,Sus,Wild,,Non-ruminant,Mixed feeder,,70,57-83,80,70-90,Even-toed,Ungulates of the World (website),Tropical rainforests,tropical rainforest,,,,,Asia,,,Malaysia,Indonesia,Singapore,Brunei,,"Malay Peninsula, Sumatra, & Borneo",tropical,,,,,Vulnerable,,http://www.ultimateungulate.com/Artiodactyla/Sus_barbatus.html,
Sus bucculentus,Indo-chinese warty pig,,,Chordata,Mammalia,Artiodactyla,Suidae,Sus,Wild,,Non-ruminant,Unknown,likely mixed feeder,Unknown,,Unknown,,Even-toed,Ungulates of the World (website),Unknown,,,,,,Asia,,,Vietnam,Laos,,,,Southeast Asia,tropical,,,,,Extinct,,http://www.ultimateungulate.com/Artiodactyla/Sus_bucculentus.html,
Sus cebifrons,Visayan warty pg,,,Chordata,Mammalia,Artiodactyla,Suidae,Sus,Wild,,Non-ruminant,Mixed feeder,,30,20-40,46.5,30-63,Even-toed,Ungulates of the World (website),Dense tropical forest,tropical rainforest,,,,,Asia,,,Philippines,,,,,"Visayan Islands, Philippines",tropical,,,,,Critically Endangered,,http://www.ultimateungulate.com/Artiodactyla/Sus_cebifrons.html,
Sus celebensis,Sulawesi warty pig,,,Chordata,Mammalia,Artiodactyla,Suidae,Sus,Wild,Domestic,Non-ruminant,Mixed feeder,,55,40-70,65,60-70,Even-toed,Ungulates of the World (website),"Tropical forests, wetlands, & grasslands",tropical rainforest,grassland,,,,Asia,,,Indonesia,,,,,"Sulawesi Island, Indonesia",tropical,,,,,Near Threatened,,http://www.ultimateungulate.com/Artiodactyla/Sus_celebensis.html,
Sus oliveri,Mindoro warty pig ,,,Chordata,Mammalia,Artiodactyla,Suidae,Sus,Wild,,Non-ruminant,Mixed feeder,,Unknown,,Unknown,,Even-toed,"Tabaranza, D. G. E. et al. 2017 (1)","Primary & secondary tropical forests, & grasslands",tropical rainforest,grassland,,,,Asia,,,Philippines,,,,,"Mindoro Island, Philippines",tropical,,,,,Vulnerable,,,
Sus philippensis,Philippine warty pig,,,Chordata,Mammalia,Artiodactyla,Suidae,Sus,Wild,,Non-ruminant,Mixed feeder,,Unknown,,Unknown,,Even-toed,"Tabaranza, D. G. E. et al. 2017 (2)",Secondary & alpine tropical forests,tropical rainforest,,,,,Asia,,,Philippines,,,,,"Luzon & Mindanao Islands, Philippines",tropical,,,,,Vulnerable,,,
Sus scrofa,Eurasian wild pig,,,Chordata,Mammalia,Artiodactyla,Suidae,Sus,Wild,,Non-ruminant,Mixed feeder,,182,44-320,82.5,55-110,Even-toed,Ungulates of the World (website),"Scrubland, deciduous & mixed forests, & semi-deserts",shrubland,temperate forest,desert,,,Europe,Africa,Asia,Morocco,Algeria,Tunisia,Libya,"Egypt, Myanmar, Thailand, Laos, Vietnam, Cambodia, Malaysia, Singapore, Indonesia, Israel, Lebanon, Turkey, Syria, Iraq, Kuwait, Iran, Afghanistan, Pakistan, India, Nepal, Bangladesh, Bhutan, China, Taiwan, North Korea, South Korea, Japan, Russia, Mongolia, Uzbekistan, Kazakhstan, Turkmenistan, Ireland, United Kingdom, Switzerland, France, Spain, Portugal, Monaco, France, Monaco, Croatia, Italy, Lithuania, Luxembourg, Liechtenstein, Czech Republic, Bosnia & Herzegovina, Serbia, Montenegro, Kosovo, Netherlands, Belgium, Germany, Poland, Slovakia, Austria, Hungary, Slovenia, Bulgaria, Greece, Macedonia, Bulgaria, Romania, Moldova, Ukraine, Belarus, Latvia, Estonia, Finland, Sweden, Norway, Denmark","Europe, Northern Afria (mediterranian), Middle East, & Central, South/Southeast, & Eastern Asia",warm temperate dry,cool temperate,tropical,sub tropical,,Least Concern,,http://www.ultimateungulate.com/Artiodactyla/Sus_scrofa.html,"Wild form of the domestic pig, s. s. domesticus"
Sus verrucosus,Javan warty pig,,,Chordata,Mammalia,Artiodactyla,Suidae,Sus,Wild,,Non-ruminant,Mixed feeder,,92.5,35-150,80,70-90,Even-toed,Ungulates of the World (website),Secondary tropical forests,tropical rainforest,,,,,Asia,,,Indonesia,,,,,"Java & Bawean Islands, Indonesia",tropical,,,,,Endangered,,http://www.ultimateungulate.com/Artiodactyla/Sus_verrucosus.html,
Catagonus wagneri,Chacoan peccary,,,Chordata,Mammalia,Artiodactyla,Tayassuidae,Catagonus,Wild,,Non-ruminant,Browser,,36.5,30-43,60.5,52-69,Even-toed,Ungulates of the World (website),Scrubland & semi-deserts,shrubland,desert,,,,South America,,,Argentina,Paraguay,Bolivia,,,"Gran Chaco, South America",tropical,sub tropical,,,,Endangered,,http://www.ultimateungulate.com/Artiodactyla/Catagonus_wagneri.html,
Pecari tajacu,Collared peccary,Javelina,,Chordata,Mammalia,Artiodactyla,Tayassuidae,Pecari,Wild,,Non-ruminant,Mixed feeder,,22.5,14-31,40,30-50,Even-toed,Ungulates of the World (website),"Open woodlands, savanna, & semi-deserts",woodland,savanna,desert,,,North America,South America,,United States of America,Mexico,Guatemala,Belize,"El Salvador, Honduras, Nicaragua, Costa Rica, Panama, Venezuela, Colombia, Ecuador, Peru, Bolivia, Paraguay, Argentina, Brazilia, Guyana, Suriname, French Gaiana",Central America & Northern South America,warm temperate dry,tropical,sub tropical,,,Least Concern,,http://www.ultimateungulate.com/Artiodactyla/Pecari_tajacu.html,
Tayassu pecari,White-lipped peccary,,,Chordata,Mammalia,Artiodactyla,Tayassuidae,Tayassu,Wild,,Non-ruminant,Mixed feeder,,32.5,25-40,50,40-60,Even-toed,Ungulates of the World (website),Moist tropical forests & savanna,tropical rainforest,savanna,,,,North America,South America,,Mexico,Guatemala,Belize,El Salvador,"Honduras, Nicaragua, Costa Rica, Panama, Venezuela, Colombia, Ecuador, Peru, Bolivia, Paraguay, Argentina, Brazilia, Guyana, Suriname, French Gaiana",Central America & Northern South America,warm temperate dry,tropical,sub tropical,,,Vulnerable,,http://www.ultimateungulate.com/Artiodactyla/Tayassu_pecari.html,
Choeropsis liberiensis,Pygmy hippopotamus,,,Chordata,Mammalia,Artiodactyla,Hippopotamidae,Choeropsis,Wild,,Non-ruminant,Mixed feeder,,216,160-272,87.5,75-100,Even-toed,Ungulates of the World (website),Rivers & wetlands (in dense forest),freshwater,,,,,Africa,,,Côte D'Ivoire,Liberia,Sierra Leone,,,"Western Africa, incl. Sierra Leone, Liberia, & Côte d'Ivoire",tropical,,,,,Data Deficient,,http://www.ultimateungulate.com/Artiodactyla/Hexaprotodon_liberiensis.html,
Hippopotamus amphibius,River hippopotamus,,,Chordata,Mammalia,Artiodactyla,Hippopotamidae,Hippopotamus,Wild,,Non-ruminant,Grazer,,1927.5,655-3200,147.5,130-165,Even-toed,Ungulates of the World (website),"Rivers, lakes, & wetlands (in grasslands)",freshwater,,,,,Africa,,,Senegal,Guinea,Ghana,Togo,"Burkina, Nigeria, Cameroon, Equatorial Guinea, Gabon, Congo Republic, Angola, Namibia, Botswana, Zambia, Zimbabwe, Malawi, Mozambique, Tanzania, Kenya, Somalia, Ethiopia, Uganda, Democratic Republic of the Congo, Central African Republic",Sub-saharan Africa (scattered),tropical,sub tropical,,,,Vulnerable,,http://www.ultimateungulate.com/Artiodactyla/Hippopotamus_amphibius.html,
Equus asinus,African wild ass,,,Chordata,Mammalia,Perissodactyla,Equidae,Equus,Wild,,Non-ruminant,Grazer,,275,275,135,125-145,Odd-toed,Ungulates of the World (website),"Semideserts, grasslands, & scrubland",desert,grassland,shrubland,,,Africa,,,Eritrea,Djibouti,Ethiopia,Somalia,,"Eastern Africa, incl. Northern Somalia, Djibouti, & Eritrea",tropical,sub tropical,,,,Data Deficient,,http://www.ultimateungulate.com/Perissodactyla/Equus_asinus.html,
Equus caballus ,Przewalski's horse,,,Chordata,Mammalia,Perissodactyla,Equidae,Equus,Wild,Domestic,Non-ruminant,Grazer,,350,350,140,140,Odd-toed,Ungulates of the World (website),Grasslands & steppe,grassland,,,,,Asia,,,Mongolia,,,,,"Mongolia, Asia",cool temperate,boreal,,,,Data Deficient,,http://www.ultimateungulate.com/Perissodactyla/Equus_caballus.html,Formerly extinct in the wild and recently reintroduced; ancestor of domestic horses
Equus grevyi,Grevy's zebra,,,Chordata,Mammalia,Perissodactyla,Equidae,Equus,Wild,,Non-ruminant,Grazer,,400,350-450,152.5,145-160,Odd-toed,Ungulates of the World (website),Savanna & semi-deserts,savanna,desert,,,,Africa,,,Ethiopia,Kenya,,,,"Kenya & Ethiopia, Africa",tropical,,,,,Endangered,,http://www.ultimateungulate.com/Perissodactyla/Equus_grevyi.html,
Equus hemionus,Asiatic wild ass,Kulan,,Chordata,Mammalia,Perissodactyla,Equidae,Equus,Wild,,Non-ruminant,Grazer,,230,200-260,120,100-140,Odd-toed,Animal Diversity (website),"Desert, semi-deserts, & steppe",desert,grassland,,,,Europe,Asia,,Iran,Pakistan,India,Mongolia,"Kazakhstan, Uzbekistan, Turkenistan, China",Eastern Europe & Central Asia,sub tropical,warm temperate dry,cool temperate,,,Near Threatened,,https://animaldiversity.org/accounts/Equus_hemionus/,
Equus kiang,Tibetan wild ass,,,Chordata,Mammalia,Perissodactyla,Equidae,Equus,Wild,,Non-ruminant,Grazer,,325,250-400,140,140,Odd-toed,Ungulates of the World (website),Steppe,grassland,,,,,Asia,,,China,,,,,"Tibet, Asia",cool temperate,boreal,,,,Least Concern,,http://www.ultimateungulate.com/Perissodactyla/Equus_kiang.html,
Equus quagga,Plains zebra,,,Chordata,Mammalia,Perissodactyla,Equidae,Equus,Unknown,,Non-ruminant,Grazer,,275,250-300,130,125–135,Odd-toed,Animal Diversity (website),Grasslands,grassland,,,,,Africa,,,Angola,Namibia,Botswana,South Africa,"Swaziland, Mozambique, Zimbabwe, Zambia, Malawi, Democratic Republic of the Congo, Tanzania, Kenya, Uganda, Ethiopia, South Sudan",Southern Africa,warm temperate dry,tropical,sub tropical,,,Near Threatened,,https://animaldiversity.org/accounts/Equus_quagga/,
Equus zebra,Mountain zebra,,,Chordata,Mammalia,Perissodactyla,Equidae,Equus,Wild,,Non-ruminant,Grazer,,315,260-370,125,120-130,Odd-toed,Ungulates of the World (website),Deserts & semi-deserts,desert,,,,,Africa,,,Namibia,South Africa,,,,"Southwestern Africa, incl. Nambia & South Africa",warm temperate dry,sub tropical,,,,Vulnerable,,http://www.ultimateungulate.com/Perissodactyla/Equus_zebra.html,
Tapirus bairdii,Baird's tapir,,,Chordata,Mammalia,Perissodactyla,Tapiridae,Tapirus,Wild,,Non-ruminant,Mixed feeder,,320,240-400,120,<120,Odd-toed,Ungulates of the World (website),Tropical jungles,tropical rainforest,,,,,North America,,,Mexico,Guatemala,Belize,El Salvador,"Honduras, Nicaragua, Costa Rica, Panama, Ecuador, Colombia","Central America, incl. Guatemala, Honduras, & Panama",tropical,sub tropical,warm temperate dry,,,Endangered,,http://www.ultimateungulate.com/Perissodactyla/Tapirus_bairdii.html,
Tapirus indicus ,Asian tapir,,,Chordata,Mammalia,Perissodactyla,Tapiridae,Tapirus,Wild,,Non-ruminant,Browser,,285,250-320,97.5,90-105,Odd-toed,Ungulates of the World (website),Dense tropical lowland rainforest,tropical rainforest,,,,,Asia,,,Indonesia,,,,,"Malay Peninsula & Sumatra, Southeast Asia",tropical,,,,,Endangered,,http://www.ultimateungulate.com/Perissodactyla/Tapirus_indicus.html,
Tapirus pinchaque,Mountain tapir,,,Chordata,Mammalia,Perissodactyla,Tapiridae,Tapirus,Wild,,Non-ruminant,Browser,,237.5,225-250,77.5,75-80,Odd-toed,Ungulates of the World (website),Alpine tropical forests,tropical rainforest,,,,,South America,,,Colombia,Ecuador,Peru,,,"Colombia, Ecuador, & Peru, South America",warm temperate dry,tropical,,,,Endangered,,http://www.ultimateungulate.com/Perissodactyla/Tapirus_pinchaque.html,
Tapirus terrestris,Lowland tapir,,,Chordata,Mammalia,Perissodactyla,Tapiridae,Tapirus,Wild,,Non-ruminant,Browser,,200,150-250,92.5,77-108,Odd-toed,Animal Diversity (website),Alpine tropical forests,tropical rainforest,,,,,South America,,,Colombia,Peru,Venezuela,Guyana,"Suriname, French Gaiana, Brazil, Bolivia, Paraguay","Eastern South America, incl. Brazil, Columbia, & Paraguay",tropical,,,,,Vulnerable,,https://animaldiversity.org/accounts/Tapirus_terrestris/,
Ceratotherium simum,White rhinoceros,,,Chordata,Mammalia,Perissodactyla,Rhinocerotidae,Ceratotherium,Wild,,Non-ruminant,Mixed feeder,,2300,1000-3600,218,171-285,Odd-toed,Animal Diversity (website),Open woodlands & savanna,woodland,savanna,,,,Africa,,,Namibia,Botswana,Zimbabwe,Mozambique,"South Africa, Swaziland, Zambia, Uganda, Kenya","Southern Africa & Congo Basin, West Africa",warm temperate dry,sub tropical,,,,Near Threatened,,"Northern white rhino is native to Congo Basin, Southern white rhino is native to southern africa. ",
Dicerorhinus sumatrensis,Sumatran rhinoceros,,,Chordata,Mammalia,Perissodactyla,Rhinocerotidae,Dicerorhinus,Wild,,Non-ruminant,Browser,,1000,1000,135,135,Odd-toed,Ungulates of the World (website),Tropical rainforests,tropical rainforest,,,,,Asia,,,Indonesia,,,,,"Malay Peninsula & Indonesia, Southeast Asia",tropical,,,,,Critically Endangered,,http://www.ultimateungulate.com/Perissodactyla/Dicerorhinus_sumatrensis.html,
Diceros bicornis,Black rhinoceros,,,Chordata,Mammalia,Perissodactyla,Rhinocerotidae,Diceros,Wild,,Non-ruminant,Browser,,1100,800-1400,160,140-180,Odd-toed,Animal Diversity (website),"Deserts, semi-deserts, savanna, & open woodlands",desert,savanna,woodland,,,Africa,,,Angola,Namibia,South Africa,Botswana,"Zimbabwe, Mozambique, Democratic Republic of the Congo, Ethiopia, Kenya, Uganda, Tanzania, Rwanda, Burundi, Malawi",Sub-saharan Africa (excluding Congo Basin),warm temperate dry,tropical,sub tropical,,,Critically Endangered,,https://animaldiversity.org/accounts/Diceros_bicornis/,
Rhinoceros sondaicus,Javan rhinoceros,,,Chordata,Mammalia,Perissodactyla,Rhinocerotidae,Rhinoceros,Wild,,Non-ruminant,Browser,,1750,1500-2000,170,170,Odd-toed,Animal Diversity (website),Tropical forests & grasslands,tropical rainforest,grassland,,,,Asia,,,Indonesia,,,,,Southeast Asia,tropical,,,,,Critically Endangered,,https://animaldiversity.org/accounts/Rhinoceros_sondaicus/,
Rhinoceros unicornis,Indian rhinoceros,,,Chordata,Mammalia,Perissodactyla,Rhinocerotidae,Rhinoceros,Wild,,Non-ruminant,Mixed feeder,,1768.5,"1542-1,995",180,180,Odd-toed,Ungulates of the World (website),Grasslands & open woodlands,grassland,woodland,,,,Asia,,,Nepal,India,,,,"Central Asia, incl. Nepal, Bangladesh, & northern India",tropical,sub tropical,,,,Vulnerable,,http://www.ultimateungulate.com/Perissodactyla/Rhinoceros_unicornis.html,
